探测项,参数,结果,样本,时间
count_test,count=-1+start/end,14,"['20260601', '20260602', '20260603', '...', '20260617', '20260618']",2026-06-30 03:44:12
count_test,count=50(对照),1187,"['20210802', '20210803', '20210804', '...', '20260626', '20260629']",2026-06-30 03:44:12
match_stkinfo,银行,100,"{'SH': 93, 'SZ': 7}",2026-06-30 03:44:12
match_stkinfo,国债,100,"{'SH': 98, 'SZ': 2}",2026-06-30 03:44:12
match_stkinfo,沪深300,100,"{'SH': 33, 'SZ': 19, 'CFF': 1, 'OF': 47}",2026-06-30 03:44:12
match_stkinfo,可转债,100,"{'SH': 7, 'OF': 72, 'OT': 20, 'CSI': 1}",2026-06-30 03:44:12
sector_880,880096,0,,2026-06-30 03:44:12
sector_880,880097,0,,2026-06-30 03:44:12
sector_880,880098,0,,2026-06-30 03:44:12
unlisted_toleration,"['600519.SH', '999999.XX', '000000.SZ']",未报错,"['600519.SH', '999999.XX', '000000.SZ']",2026-06-30 03:44:12
